year,session,month,level,scoring_section,max_score,mean_score,standard_deviation,population,source_url
2016,1,7,N1,Language Knowledge (Vocabulary/Grammar),60,29.0,11.7,Total,https://www.jlpt.jp/statistics/pdf/2016_1_5.pdf
2016,1,7,N2,Language Knowledge (Vocabulary/Grammar),60,28.5,10.1,Total,https://www.jlpt.jp/statistics/pdf/2016_1_5.pdf
2016,1,7,N3,Language Knowledge (Vocabulary/Grammar),60,30.4,8.3,Total,https://www.jlpt.jp/statistics/pdf/2016_1_5.pdf
2016,1,7,N1,Reading,60,29.5,13.2,Total,https://www.jlpt.jp/statistics/pdf/2016_1_5.pdf
2016,1,7,N2,Reading,60,27.8,13.5,Total,https://www.jlpt.jp/statistics/pdf/2016_1_5.pdf
2016,1,7,N3,Reading,60,28.8,10.5,Total,https://www.jlpt.jp/statistics/pdf/2016_1_5.pdf
2016,1,7,N4,Language Knowledge (Vocabulary/Grammar) & Reading,120,54.8,19.3,Total,https://www.jlpt.jp/statistics/pdf/2016_1_5.pdf
2016,1,7,N5,Language Knowledge (Vocabulary/Grammar) & Reading,120,56.2,19.8,Total,https://www.jlpt.jp/statistics/pdf/2016_1_5.pdf
2016,1,7,N1,Listening,60,32.8,11.7,Total,https://www.jlpt.jp/statistics/pdf/2016_1_5.pdf
2016,1,7,N2,Listening,60,34.2,10.6,Total,https://www.jlpt.jp/statistics/pdf/2016_1_5.pdf
2016,1,7,N3,Listening,60,34.1,11.0,Total,https://www.jlpt.jp/statistics/pdf/2016_1_5.pdf
2016,1,7,N4,Listening,60,30.0,9.9,Total,https://www.jlpt.jp/statistics/pdf/2016_1_5.pdf
2016,1,7,N5,Listening,60,28.3,10.9,Total,https://www.jlpt.jp/statistics/pdf/2016_1_5.pdf
2016,1,7,N1,Total Score,180,91.4,30.8,Total,https://www.jlpt.jp/statistics/pdf/2016_1_5.pdf
2016,1,7,N2,Total Score,180,90.5,28.3,Total,https://www.jlpt.jp/statistics/pdf/2016_1_5.pdf
2016,1,7,N3,Total Score,180,93.3,25.1,Total,https://www.jlpt.jp/statistics/pdf/2016_1_5.pdf
2016,1,7,N4,Total Score,180,84.8,26.6,Total,https://www.jlpt.jp/statistics/pdf/2016_1_5.pdf
2016,1,7,N5,Total Score,180,84.5,28.4,Total,https://www.jlpt.jp/statistics/pdf/2016_1_5.pdf
2016,2,12,N1,Language Knowledge (Vocabulary/Grammar),60,27.9,10.8,Total,https://www.jlpt.jp/statistics/pdf/2016_2_5.pdf
2016,2,12,N2,Language Knowledge (Vocabulary/Grammar),60,26.2,10.1,Total,https://www.jlpt.jp/statistics/pdf/2016_2_5.pdf
2016,2,12,N3,Language Knowledge (Vocabulary/Grammar),60,29.1,9.1,Total,https://www.jlpt.jp/statistics/pdf/2016_2_5.pdf
2016,2,12,N1,Reading,60,28.5,14.3,Total,https://www.jlpt.jp/statistics/pdf/2016_2_5.pdf
2016,2,12,N2,Reading,60,25.5,13.0,Total,https://www.jlpt.jp/statistics/pdf/2016_2_5.pdf
2016,2,12,N3,Reading,60,30.2,10.7,Total,https://www.jlpt.jp/statistics/pdf/2016_2_5.pdf
2016,2,12,N4,Language Knowledge (Vocabulary/Grammar) & Reading,120,54.0,19.1,Total,https://www.jlpt.jp/statistics/pdf/2016_2_5.pdf
2016,2,12,N5,Language Knowledge (Vocabulary/Grammar) & Reading,120,53.7,19.5,Total,https://www.jlpt.jp/statistics/pdf/2016_2_5.pdf
2016,2,12,N1,Listening,60,31.5,10.6,Total,https://www.jlpt.jp/statistics/pdf/2016_2_5.pdf
2016,2,12,N2,Listening,60,32.9,11.3,Total,https://www.jlpt.jp/statistics/pdf/2016_2_5.pdf
2016,2,12,N3,Listening,60,34.0,10.5,Total,https://www.jlpt.jp/statistics/pdf/2016_2_5.pdf
2016,2,12,N4,Listening,60,28.4,9.2,Total,https://www.jlpt.jp/statistics/pdf/2016_2_5.pdf
2016,2,12,N5,Listening,60,28.3,9.1,Total,https://www.jlpt.jp/statistics/pdf/2016_2_5.pdf
2016,2,12,N1,Total Score,180,88.0,30.3,Total,https://www.jlpt.jp/statistics/pdf/2016_2_5.pdf
2016,2,12,N2,Total Score,180,84.6,28.2,Total,https://www.jlpt.jp/statistics/pdf/2016_2_5.pdf
2016,2,12,N3,Total Score,180,93.3,25.9,Total,https://www.jlpt.jp/statistics/pdf/2016_2_5.pdf
2016,2,12,N4,Total Score,180,82.4,25.8,Total,https://www.jlpt.jp/statistics/pdf/2016_2_5.pdf
2016,2,12,N5,Total Score,180,81.9,26.6,Total,https://www.jlpt.jp/statistics/pdf/2016_2_5.pdf
2017,1,7,N1,Language Knowledge (Vocabulary/Grammar),60,29.8,10.4,Total,https://www.jlpt.jp/statistics/pdf/2017_1_5.pdf
2017,1,7,N2,Language Knowledge (Vocabulary/Grammar),60,29.8,10.3,Total,https://www.jlpt.jp/statistics/pdf/2017_1_5.pdf
2017,1,7,N3,Language Knowledge (Vocabulary/Grammar),60,29.5,9.2,Total,https://www.jlpt.jp/statistics/pdf/2017_1_5.pdf
2017,1,7,N1,Reading,60,28.5,14.6,Total,https://www.jlpt.jp/statistics/pdf/2017_1_5.pdf
2017,1,7,N2,Reading,60,27.6,12.5,Total,https://www.jlpt.jp/statistics/pdf/2017_1_5.pdf
2017,1,7,N3,Reading,60,28.5,10.4,Total,https://www.jlpt.jp/statistics/pdf/2017_1_5.pdf
2017,1,7,N4,Language Knowledge (Vocabulary/Grammar) & Reading,120,55.9,18.9,Total,https://www.jlpt.jp/statistics/pdf/2017_1_5.pdf
2017,1,7,N5,Language Knowledge (Vocabulary/Grammar) & Reading,120,56.2,19.0,Total,https://www.jlpt.jp/statistics/pdf/2017_1_5.pdf
2017,1,7,N1,Listening,60,32.3,11.3,Total,https://www.jlpt.jp/statistics/pdf/2017_1_5.pdf
2017,1,7,N2,Listening,60,33.8,10.8,Total,https://www.jlpt.jp/statistics/pdf/2017_1_5.pdf
2017,1,7,N3,Listening,60,33.4,11.3,Total,https://www.jlpt.jp/statistics/pdf/2017_1_5.pdf
2017,1,7,N4,Listening,60,29.7,9.3,Total,https://www.jlpt.jp/statistics/pdf/2017_1_5.pdf
2017,1,7,N5,Listening,60,29.2,10.2,Total,https://www.jlpt.jp/statistics/pdf/2017_1_5.pdf
2017,1,7,N1,Total Score,180,90.7,30.7,Total,https://www.jlpt.jp/statistics/pdf/2017_1_5.pdf
2017,1,7,N2,Total Score,180,91.3,27.1,Total,https://www.jlpt.jp/statistics/pdf/2017_1_5.pdf
2017,1,7,N3,Total Score,180,91.4,26.1,Total,https://www.jlpt.jp/statistics/pdf/2017_1_5.pdf
2017,1,7,N4,Total Score,180,85.6,25.9,Total,https://www.jlpt.jp/statistics/pdf/2017_1_5.pdf
2017,1,7,N5,Total Score,180,85.4,27.2,Total,https://www.jlpt.jp/statistics/pdf/2017_1_5.pdf
2017,2,12,N1,Language Knowledge (Vocabulary/Grammar),60,28.9,11.2,Total,https://www.jlpt.jp/statistics/pdf/2017_2_5.pdf
2017,2,12,N2,Language Knowledge (Vocabulary/Grammar),60,25.7,11.3,Total,https://www.jlpt.jp/statistics/pdf/2017_2_5.pdf
2017,2,12,N3,Language Knowledge (Vocabulary/Grammar),60,29.0,8.8,Total,https://www.jlpt.jp/statistics/pdf/2017_2_5.pdf
2017,2,12,N1,Reading,60,28.1,13.5,Total,https://www.jlpt.jp/statistics/pdf/2017_2_5.pdf
2017,2,12,N2,Reading,60,24.6,12.6,Total,https://www.jlpt.jp/statistics/pdf/2017_2_5.pdf
2017,2,12,N3,Reading,60,28.5,10.0,Total,https://www.jlpt.jp/statistics/pdf/2017_2_5.pdf
2017,2,12,N4,Language Knowledge (Vocabulary/Grammar) & Reading,120,54.7,18.5,Total,https://www.jlpt.jp/statistics/pdf/2017_2_5.pdf
2017,2,12,N5,Language Knowledge (Vocabulary/Grammar) & Reading,120,54.3,19.8,Total,https://www.jlpt.jp/statistics/pdf/2017_2_5.pdf
2017,2,12,N1,Listening,60,32.4,11.3,Total,https://www.jlpt.jp/statistics/pdf/2017_2_5.pdf
2017,2,12,N2,Listening,60,35.1,10.3,Total,https://www.jlpt.jp/statistics/pdf/2017_2_5.pdf
2017,2,12,N3,Listening,60,34.9,10.2,Total,https://www.jlpt.jp/statistics/pdf/2017_2_5.pdf
2017,2,12,N4,Listening,60,29.1,8.7,Total,https://www.jlpt.jp/statistics/pdf/2017_2_5.pdf
2017,2,12,N5,Listening,60,28.2,9.1,Total,https://www.jlpt.jp/statistics/pdf/2017_2_5.pdf
2017,2,12,N1,Total Score,180,89.3,30.6,Total,https://www.jlpt.jp/statistics/pdf/2017_2_5.pdf
2017,2,12,N2,Total Score,180,85.4,28.1,Total,https://www.jlpt.jp/statistics/pdf/2017_2_5.pdf
2017,2,12,N3,Total Score,180,92.4,24.3,Total,https://www.jlpt.jp/statistics/pdf/2017_2_5.pdf
2017,2,12,N4,Total Score,180,83.8,24.6,Total,https://www.jlpt.jp/statistics/pdf/2017_2_5.pdf
2017,2,12,N5,Total Score,180,82.5,26.5,Total,https://www.jlpt.jp/statistics/pdf/2017_2_5.pdf
2018,1,7,N1,Language Knowledge (Vocabulary/Grammar),60,29.4,11.3,Total,https://www.jlpt.jp/statistics/pdf/2018_1_5.pdf
2018,1,7,N2,Language Knowledge (Vocabulary/Grammar),60,26.3,10.7,Total,https://www.jlpt.jp/statistics/pdf/2018_1_5.pdf
