level,scaled_score,percentile_japan,percentile_overseas,percentile_total,top_percent_total,source
N1,180,99.6,99.4,99.5,0.5,https://www.jlpt.jp/statistics/pdf/2025_2_6.pdf
N1,175,99.4,99.0,99.1,0.9,https://www.jlpt.jp/statistics/pdf/2025_2_6.pdf
N1,170,99.0,98.3,98.6,1.4,https://www.jlpt.jp/statistics/pdf/2025_2_6.pdf
N1,165,98.5,97.6,97.9,2.1,https://www.jlpt.jp/statistics/pdf/2025_2_6.pdf
N1,160,98.0,96.7,97.2,2.8,https://www.jlpt.jp/statistics/pdf/2025_2_6.pdf
N1,155,97.4,95.7,96.4,3.6,https://www.jlpt.jp/statistics/pdf/2025_2_6.pdf
N1,150,96.7,94.6,95.4,4.6,https://www.jlpt.jp/statistics/pdf/2025_2_6.pdf
N1,145,95.8,93.4,94.3,5.7,https://www.jlpt.jp/statistics/pdf/2025_2_6.pdf
N1,140,94.9,92.0,93.1,6.9,https://www.jlpt.jp/statistics/pdf/2025_2_6.pdf
N1,135,93.7,90.3,91.6,8.4,https://www.jlpt.jp/statistics/pdf/2025_2_6.pdf
N1,130,92.3,88.3,89.8,10.2,https://www.jlpt.jp/statistics/pdf/2025_2_6.pdf
N1,125,90.5,85.9,87.7,12.3,https://www.jlpt.jp/statistics/pdf/2025_2_6.pdf
N1,120,88.4,83.2,85.2,14.8,https://www.jlpt.jp/statistics/pdf/2025_2_6.pdf
N1,115,85.6,80.0,82.2,17.8,https://www.jlpt.jp/statistics/pdf/2025_2_6.pdf
N1,110,82.2,76.2,78.5,21.5,https://www.jlpt.jp/statistics/pdf/2025_2_6.pdf
N1,105,77.7,71.7,74.1,25.9,https://www.jlpt.jp/statistics/pdf/2025_2_6.pdf
N1,100,72.4,66.6,68.8,31.2,https://www.jlpt.jp/statistics/pdf/2025_2_6.pdf
N1,95,66.0,60.6,62.7,37.3,https://www.jlpt.jp/statistics/pdf/2025_2_6.pdf
N1,90,58.6,53.9,55.8,44.2,https://www.jlpt.jp/statistics/pdf/2025_2_6.pdf
N1,85,50.7,46.9,48.4,51.6,https://www.jlpt.jp/statistics/pdf/2025_2_6.pdf
N1,80,42.4,39.6,40.7,59.3,https://www.jlpt.jp/statistics/pdf/2025_2_6.pdf
N1,75,34.2,32.5,33.1,66.9,https://www.jlpt.jp/statistics/pdf/2025_2_6.pdf
N1,70,26.3,25.7,26.0,74.0,https://www.jlpt.jp/statistics/pdf/2025_2_6.pdf
N1,65,19.3,19.6,19.5,80.5,https://www.jlpt.jp/statistics/pdf/2025_2_6.pdf
N1,60,13.3,14.2,13.9,86.1,https://www.jlpt.jp/statistics/pdf/2025_2_6.pdf
N1,55,8.7,9.8,9.3,90.7,https://www.jlpt.jp/statistics/pdf/2025_2_6.pdf
N1,50,5.2,6.4,5.9,94.1,https://www.jlpt.jp/statistics/pdf/2025_2_6.pdf
N1,45,2.9,3.9,3.5,96.5,https://www.jlpt.jp/statistics/pdf/2025_2_6.pdf
N1,40,1.5,2.1,1.9,98.1,https://www.jlpt.jp/statistics/pdf/2025_2_6.pdf
N1,35,0.6,1.1,0.9,99.1,https://www.jlpt.jp/statistics/pdf/2025_2_6.pdf
